2025-12-16 09:10:47 | DAO | t1 | 你好
2025-12-16 09:11:21 | DAO | t1 | 你好
2025-12-16 09:12:00 | DAO | t1 | 你好
2025-12-16 09:35:35 | DAO | t1 | 你好
2025-12-16 09:39:15 | DAO | t1 | 你好
2025-12-16 09:39:51 | DAO | dao | [调用方：com.example.UtioyV1.controller.TextController.text1(行：33)] xxxx
2025-12-16 09:40:31 | DAO | t1 | 你好
2025-12-16 09:40:32 | DAO | dao | [调用方：com.example.UtioyV1.controller.TextController.text1(行：33)] xxxx
2025-12-16 09:41:05 | DAO | t1 | 你好
2025-12-16 09:41:20 | DAO | t1 | 你好
2025-12-16 09:41:21 | DAO | dao | [调用方：com.example.UtioyV1.controller.TextController    text1(行：33)]
2025-12-16 09:41:24 | DAO | dao | [调用方：com.example.UtioyV1.controller.TextController    text1(行：33)]
2025-12-16 09:41:29 | DAO | dao | [调用方：com.example.UtioyV1.controller.TextController    text1(行：33)]
2025-12-16 09:46:13 | DAO | t1 | 你好
2025-12-16 09:46:24 | DAO | dao | [调用方：com.example.UtioyV1.controller.TextController    text1  (行：33)]
  类注解：@org.springframework.web.bind.annotation.RestController("")
  方法注解：@org.springframework.web.bind.annotation.RequestMapping(path={}, headers={}, method={}, name="", produces={}, params={}, value={"/v1"}, version="", consumes={})
  参数注解：无参数注解
  原始信息：xxxx
2025-12-16 09:53:25 | DAO | t1 | 你好
2025-12-16 09:53:30 | DAO | dao | [调用方：[Ljava.lang.String;@3561b06c    text1  (行：33)]
2025-12-16 09:54:14 | DAO | t1 | 你好
2025-12-16 09:54:15 | DAO | dao | [调用方：[Ljava.lang.String;@2945fe4f    text1  (行：33)]
2025-12-16 09:54:43 | DAO | t1 | 你好
2025-12-16 09:54:55 | DAO | t1 | 你好
2025-12-16 09:55:16 | DAO | t1 | 你好
2025-12-16 09:56:14 | DAO | t1 | 你好
2025-12-16 09:56:16 | DAO | dao | [调用方：[Ljava.lang.String;@3b98a817    text1  (行：33)]
2025-12-16 09:57:11 | DAO | t1 | 你好
2025-12-16 09:57:17 | DAO | dao | [调用方：[Ljava.lang.String;@58a03a4e    text1  (行：33)]
2025-12-16 09:58:20 | DAO | t1 | 你好
2025-12-16 09:58:21 | DAO | dao | [调用方：[Ljava.lang.String;@688b4e71    text1  (行：33)]
2025-12-16 09:58:49 | DAO | t1 | 你好
2025-12-16 09:59:04 | DAO | t1 | 你好
2025-12-16 09:59:12 | DAO | dao | [调用方：com.example.UtioyV1.controller.TextController    text1(行：33)] 
2025-12-16 10:01:15 | DAO | t1 | 你好
2025-12-16 10:01:23 | DAO | dao | [调用方：com.example.UtioyV1.controller.TextController    text1(行：33)] 
2025-12-16 10:02:14 | DAO | t1 | 你好
2025-12-16 10:02:16 | DAO | dao | [调用方：TextController    text1(行：33)] 
2025-12-16 10:02:18 | DAO | dao | [调用方：TextController    text1(行：33)] 
2025-12-16 10:02:50 | DAO | t1 | 你好
2025-12-16 10:03:12 | DAO | t1 | 你好
2025-12-16 10:03:13 | DAO | dao | [调用方：类:TextController.text1(33)] 
2025-12-16 10:12:25 | DAO | t1 | 你好
2025-12-16 10:14:18 | DAO | t1 | 你好
2025-12-16 10:15:21 | DAO | t1 | 你好
2025-12-16 10:20:22 | DAO | dao | 你好啊
2025-12-16 10:21:14 | DAO | dao | 你好啊
2025-12-16 10:21:42 | DAO | dao | 你好啊
2025-12-16 10:24:52 | DAO | dao | 你好啊
2025-12-16 10:25:19 | DAO | dao | 你好啊
2025-12-16 10:25:51 | DAO | dao | 你好啊
2025-12-16 10:26:23 | DAO | dao | 你好啊
2025-12-16 10:26:54 | DAO | dao | 你好啊
2025-12-16 10:27:18 | DAO | dao | 你好啊
2025-12-16 10:27:44 | DAO | dao | 你好啊
2025-12-16 10:28:03 | DAO | dao | 你好啊
2025-12-16 10:28:17 | DAO | dao | 你好啊
2025-12-16 10:28:36 | DAO | dao | 你好啊
2025-12-16 10:41:40 | DAO | ERROR | 输入{"currentPath1":"files","fileUrl":"xxxxx111","log":{"batchSize":50,"consoleOutput":true,"enabled":true,"fileOutput":true,"flushIntervalSeconds":5,"keepFiles":30,"levels":{"dao":true,"debug":true,"error":true,"info":true,"severe":true,"warn":true}}}
2025-12-16 10:41:40 | DAO | SEVERE | 错误
